forum,title,keywords,abstract,pdf,match,venue,year,type
https://openreview.net/forum?id=o7qhUMylLU,{'value': 'Sample-Efficient Multi-Agent RL: An Optimization Perspective'},"{'value': ['multi-agent reinforcement learning', 'theory', 'general function approximation', 'general-sum Markov Games']}","{'value': 'We study multi-agent reinforcement learning (MARL) for the general-sum Markov Games (MGs) under general function approximation. \n    In order to find the minimum assumption for sample-efficient learning, we introduce a novel complexity measure called the Multi-Agent Decoupling Coefficient (MADC) for general-sum MGs. Using this measure, we propose the first unified algorithmic framework that ensures sample efficiency in learning Nash Equilibrium, Coarse Correlated Equilibrium, and Correlated Equilibrium for both model-based and model-free MARL problems with low MADC. We also show that our algorithm provides comparable sublinear regret to the existing works. Moreover, our algorithm combines an equilibrium-solving oracle with a single objective optimization subprocedure that solves for the regularized payoff of each deterministic joint policy, which avoids solving constrained optimization problems within data-dependent constraints (Jin et al. 2020; Wang et al. 2023) or executing sampling procedures with complex multi-objective optimization problems (Foster et al. 2023), thus being more amenable to empirical implementation.'}",https://openreview.net{'value': '/pdf/fe5b0154a5ddbf71df6a0cd9077a345a6fa6065c.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=mM7VurbA4r,{'value': 'SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents'},"{'value': ['Social', 'Interaction', 'Agent', 'Social intelligence', 'Large Language Models', 'Evaluation', 'Theory of Mind']}","{'value': ""*Humans are social beings*; we pursue social goals in our daily interactions, which is a crucial aspect of social intelligence. Yet, AI systems' abilities in this realm remain elusive. We present SOTOPIA, an open-ended environment to simulate complex social interactions between artificial agents and evaluate their social intelligence. In our environment, agents role-play and *interact* under a wide variety of scenarios; they coordinate, collaborate, exchange, and compete with each other to achieve complex social goals. We simulate the role-play interaction between LLM-based agents and humans within this task space and evaluate their performance with a holistic evaluation framework called SOTOPIA-Eval. With SOTOPIA, we find significant differences between these models in terms of their social intelligence, and we identify a subset of SOTOPIA scenarios, SOTOPIA-hard, that is generally challenging for all models. We find that on this subset, GPT-4 achieves a significantly lower goal completion rate than humans and struggles to exhibit social commonsense reasoning and strategic communication skills. These findings demonstrate SOTOPIA's promise as a general platform for research on evaluating and improving social intelligence in artificial agents.""}",https://openreview.net{'value': '/pdf/6aece1f9088fc415196df5830f1ca62e6dbf37d3.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=hNhwSmtXRh,{'value': 'Lemur: Harmonizing Natural Language and Code for Language Agents'},"{'value': ['large language model', 'agent', 'code generation', 'reasoning', 'decision making']}","{'value': 'We introduce Lemur and Lemur-Chat, openly accessible language models optimized\nfor both natural language and coding capabilities to serve as the backbone\nof versatile language agents. The evolution from language chat models to\nfunctional language agents demands that models not only master human interaction,\nreasoning, and planning but also ensure grounding in the relevant environments.\nThis calls for a harmonious blend of language and coding capabilities\nin the models. Lemur and Lemur-Chat are proposed to address this necessity,\ndemonstrating balanced proficiencies in both domains, unlike existing\nopen-source models that tend to specialize in either. Through meticulous pretraining\nusing a code-intensive corpus and instruction fine-tuning on text and code\ndata, our models achieve state-of-the-art averaged performance across diverse\ntext and coding benchmarks. Comprehensive experiments demonstrate Lemur’s\nsuperiority over existing open-source models and its proficiency across various\nagent tasks involving human communication, tool usage, and interaction under\nfully- and partially- observable environments. The harmonization between natural\nand programming languages enables Lemur-Chat to significantly narrow the\ngap with proprietary models on agent abilities, providing key insights into developing\nadvanced open-source agents adept at reasoning, planning, and operating\nseamlessly across environments. Our model and code have been open-sourced at\nhttps://github.com/OpenLemur/Lemur.'}",https://openreview.net{'value': '/pdf/8ef62990871ebf2cac77dc6ea498085f167f070a.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=Z59Rb5bPPP,{'value': 'Trajeglish: Traffic Modeling as Next-Token Prediction'},"{'value': ['self-driving', 'traffic modeling', 'autonomous vehicles', 'simulation', 'motion prediction', 'transformer']}","{'value': 'A longstanding challenge for self-driving development is simulating dynamic driving scenarios seeded from recorded driving logs. In pursuit of this functionality, we apply tools from discrete sequence modeling to model how vehicles, pedestrians and cyclists interact in driving scenarios. Using a simple data-driven tokenization scheme, we discretize trajectories to centimeter-level resolution using a small vocabulary. We then model the multi-agent sequence of discrete motion tokens with a GPT-like encoder-decoder that is autoregressive in time and takes into account intra-timestep interaction between agents. Scenarios sampled from our model exhibit state-of-the-art realism; our model tops the Waymo Sim Agents Benchmark, surpassing prior work along the realism meta metric by 3.3% and along the interaction metric by 9.9%. We ablate our modeling choices in full autonomy and partial autonomy settings, and show that the representations learned by our model can quickly be adapted to improve performance on nuScenes. We additionally evaluate the scalability of our model with respect to parameter count and dataset size, and use density estimates from our model to quantify the saliency of context length and intra-timestep interaction for the traffic modeling task.'}",https://openreview.net{'value': '/pdf/6a1754e5443464338e361380403b4fec2f5d94b2.pdf'},{'abstract_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=W3VsHuga3j,{'value': 'Modeling Boundedly Rational Agents with Latent Inference Budgets'},"{'value': ['neurosymbolic', 'planning', 'rationality']}","{'value': 'We study the problem of modeling a population of agents pursuing unknown goals subject to unknown computational constraints. In standard models of bounded rationality, sub-optimal decision-making is simulated by adding homoscedastic noise to optimal decisions rather than actually simulating constrained inference. In this work, we introduce a latent inference budget model (L-IBM) that models these constraints explicitly, via a latent variable (inferred jointly with a model of agents’ goals) that controls the runtime of an iterative inference algorithm. L-IBMs make it possible to learn agent models using data from diverse populations of suboptimal actors. In three modeling tasks—inferring navigation goals from routes, inferring communicative intents from human utterances, and predicting next moves in human chess games—we show that L-IBMs match or outperforms Boltzmann models of decision-making under uncertainty. Moreover, the inferred inference budgets are themselves meaningful, efficient to compute, and correlated with measures of player skill, partner skill and task difficulty.'}",https://openreview.net{'value': '/pdf/b6fcabc7a4521fa9b8ff72f6d09fbafc1e118951.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=VtmBAGCN7o,{'value': 'MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework'},"{'value': ['Autonomous Agent', 'Meta Programming', 'Multi-Agent Society', 'Group Intelligence']}","{'value': 'Recently, remarkable progress has been made on automated problem solving through societies of agents based on large language models (LLMs). Previous LLM-based multi-agent systems can already solve simple dialogue tasks. More complex tasks, however, face challenges through logic inconsistencies due to cascading hallucinations caused by naively chaining LLMs. Here we introduce MetaGPT, an innovative meta-programming framework incorporating efficient human workflows into LLM-based multi-agent collaborations. MetaGPT encodes Standardized Operating Procedures (SOPs) into prompt sequences for more streamlined workflows, thus allowing agents with human-like domain expertise to verify intermediate results and reduce errors.  MetaGPT utilizes an assembly line paradigm to assign diverse roles to various agents, efficiently breaking down complex tasks into subtasks involving many agents working together.  On collaborative software engineering benchmarks, MetaGPT generates more coherent solutions than previous chat-based multi-agent systems.'}",https://openreview.net{'value': '/pdf/474fc6dad3bd9bf7fdb97c7cd72b2cc0649a9647.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=UBVNwD3hPN,{'value': 'CivRealm: A Learning and Reasoning Odyssey in Civilization for Decision-Making Agents'},"{'value': ['Interactive Environments', 'Benchmark', 'Reinforcement Learning', 'Language Agent', 'Multi-agent']}","{'value': 'The generalization of decision-making agents encompasses two fundamental elements: learning from past experiences and reasoning in novel contexts. However, the predominant emphasis in most interactive environments is on learning, often at the expense of complexity in reasoning. In this paper, we introduce CivRealm, an environment inspired by the Civilization game. Civilization’s profound alignment with human society requires sophisticated learning and prior knowledge, while its ever-changing space and action space demand robust reasoning for generalization. Particularly, CivRealm sets up an imperfect-information general-sum game with a changing number of players; it presents a plethora of complex features, challenging the agent to deal with open-ended stochastic environments that require diplomacy and negotiation skills. Within CivRealm, we provide interfaces for two typical agent types: tensor-based agents that focus on learning, and language-based agents that emphasize reasoning. To catalyze further research, we present initial results for both paradigms. The canonical RL-based agents exhibit reasonable performance in mini-games, whereas both RL- and LLM-based agents struggle to make substantial progress in the full game. Overall, CivRealm stands as a unique learning and reasoning challenge for decision-making agents. The code is available at https://github.com/bigai-ai/civrealm.'}",https://openreview.net{'value': '/pdf/8e9b4884f752883a17e58942608d9cc769610a01.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=Ts95eXsPBc,{'value': 'Spatially-Aware Transformers for Embodied Agents'},"{'value': ['Episodic Memory', 'Spatial Inference', 'Prediction', 'Generation', 'Reinforcement Learning']}","{'value': 'Episodic memory plays a crucial role in various cognitive processes, such as the ability to mentally recall past events. While cognitive science emphasizes the significance of spatial context in the formation and retrieval of episodic memory, the current primary approach to implementing episodic memory in AI systems is through transformers that store temporally ordered experiences, which overlooks the spatial dimension. As a result, it is unclear how the underlying structure could be extended to incorporate the spatial axis beyond temporal order alone and thereby what benefits can be obtained. To address this, this paper explores the use of Spatially-Aware Transformer models that incorporate spatial information. These models enable the creation of place-centric episodic memory that considers both temporal and spatial dimensions. Adopting this approach, we demonstrate that memory utilization efficiency can be improved, leading to enhanced accuracy in various place-centric downstream tasks. Additionally, we propose the Adaptive Memory Allocator, a memory management method based on reinforcement learning that aims to optimize efficiency of memory utilization. Our experiments demonstrate the advantages of our proposed model in various environments and across multiple downstream tasks, including prediction, generation, reasoning, and reinforcement learning. The source code for our models and experiments will be available at \\href{https://github.com/spatially_aware_transformer}{https://github.com/spatially_aware_transformer}.'}",https://openreview.net{'value': '/pdf/1dc0ff45874e872749597c38bcfc2df0fa7ed0d6.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=SBoRhRCzM3,{'value': 'THOUGHT PROPAGATION: AN ANALOGICAL APPROACH TO COMPLEX REASONING WITH LARGE LANGUAGE MODELS'},"{'value': ['LLM Complex Reasoning', 'Language Model Reasoning']}","{'value': 'Large Language Models (LLMs) have achieved remarkable success in reasoning tasks with the development of prompting methods. \nHowever, existing prompting approaches cannot reuse insights of solving similar problems and suffer from accumulated errors in multi-step reasoning, since they prompt LLMs to reason \\textit{from scratch}.\nTo address these issues, we propose \\textbf{\\textit{Thought Propagation} (TP)}, which explores the analogous problems and leverages their solutions to enhance the complex reasoning ability of LLMs.\nThese analogous problems are related to the input one, with reusable solutions and problem-solving strategies.\nThus, it is promising to propagate insights of solving previous analogous problems to inspire new problem-solving. \nTo achieve this, TP first prompts LLMs to propose and solve a set of analogous problems that are related to the input one. \nThen, TP reuses the results of analogous problems to directly yield a new solution or derive a knowledge-intensive plan for execution to amend the initial solution obtained from scratch.\nTP is compatible with existing prompting approaches, allowing plug-and-play generalization and enhancement in a wide range of tasks without much labor in task-specific prompt engineering. \nExperiments across three challenging tasks demonstrate TP enjoys a substantial improvement over the baselines by an average of 12\\% absolute increase in finding the optimal solutions in Shortest-path Reasoning, 13\\% improvement of human preference in Creative Writing, and 15\\% enhancement in the task completion rate of LLM-Agent Planning.'}",https://openreview.net{'value': '/pdf/1cddcaa3f523f7ad1c9aea87d5180f2d173e4bb8.pdf'},{'abstract_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=S2oTVrlcp3,{'value': 'SmartPlay : A Benchmark for LLMs as Intelligent Agents'},{'value': ['Large Language Models']},"{'value': ""Recent large language models (LLMs) have demonstrated great potential toward intelligent agents and next-gen automation, but there currently lacks a systematic benchmark for evaluating LLMs' abilities as agents. We introduce SmartPlay: both a challenging benchmark and a methodology for evaluating LLMs as agents. SmartPlay consists of 6 different games, including Rock-Paper-Scissors, Tower of Hanoi, Minecraft. Each game features a unique setting, providing up to 20 evaluation settings and infinite environment variations. Each game in SmartPlay uniquely challenges a subset of 9 important capabilities of an intelligent LLM agent, including reasoning with object dependencies, planning ahead, spatial reasoning, learning from history, and understanding randomness. The distinction between the set of capabilities each game test allows us to analyze each capability separately.\nSmartPlay serves not only as a rigorous testing ground for evaluating the overall performance of LLM agents but also as a road-map for identifying gaps in current methodologies. \nWe release our benchmark at https://github.com/microsoft/SmartPlay""}",https://openreview.net{'value': '/pdf/f84669704e333d9a0d57f5fd1dfd011b03109021.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=Qox9rO0kN0,{'value': 'Learning Multi-Agent Communication from Graph Modeling Perspective'},"{'value': ['communication learning', 'multi-agent reinforcement learning']}","{'value': 'In numerous artificial intelligence applications, the collaborative efforts of multiple intelligent agents are imperative for the successful attainment of target objectives. To enhance coordination among these agents, a distributed communication framework is often employed. However, information sharing among all agents proves to be resource-intensive, while the adoption of a manually pre-defined communication architecture imposes limitations on inter-agent communication, thereby constraining the potential for collaborative efforts. In this study, we introduce a novel approach wherein we conceptualize the communication architecture among agents as a learnable graph. We formulate this problem as the task of determining the communication graph while enabling the architecture parameters to update normally, thus necessitating a bi-level optimization process. Utilizing continuous relaxation of the graph representation and incorporating attention units, our proposed approach, CommFormer, efficiently optimizes the communication graph and concurrently refines architectural parameters through gradient descent in an end-to-end manner. Extensive experiments on a variety of cooperative tasks substantiate the robustness of our model across diverse cooperative scenarios, where agents are able to develop more coordinated and sophisticated strategies regardless of changes in the number of agents.'}",https://openreview.net{'value': '/pdf/b18ae005fc01451473ec4301d9802e5267831053.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
https://openreview.net/forum?id=NltzxpG0nz,{'value': 'Steve-Eye: Equipping LLM-based Embodied Agents with Visual Perception in Open Worlds'},"{'value': ['large multimodal pre-training', 'open-world embodied agent', 'large language model']}","{'value': ""Recent studies have presented compelling evidence that large language models (LLMs) can equip embodied agents with the self-driven capability to interact with the world, which marks an initial step toward versatile robotics. However, these efforts tend to overlook the visual richness of open worlds, rendering the entire interactive process akin to ``a blindfolded text-based game.'' Consequently, LLM-based agents frequently encounter challenges in intuitively comprehending their surroundings and producing responses that are easy to understand. In this paper, we propose Steve-Eye, an end-to-end trained large multimodal model to address this limitation. Steve-Eye integrates the LLM with a visual encoder to process visual-text inputs and generate multimodal feedback. We adopt a semi-automatic strategy to collect an extensive dataset comprising 850K open-world instruction pairs, enabling our model to encompass three essential functions for an agent: multimodal perception, foundational knowledge base, and skill prediction and planning. Lastly, we develop three open-world evaluation benchmarks and carry out experiments from a wide range of perspectives to validate our model's capability to strategically act and plan. The project’s website and code can be found at https://sites.google.com/view/steve-eye.""}",https://openreview.net{'value': '/pdf/a46ce05ff44a87fada32b918f094df26df3d2f07.pdf'},{'title_filter': 'Agent'},ICLR.cc,2024,Conference
